field name;mode;type
primary_key;NULLABLE;STRING
flag_takeup;NULLABLE;INTEGER
scores;NULLABLE;FLOAT
scores_bin;NULLABLE;FLOAT
mob_multiguna_allcondition_min;NULLABLE;FLOAT
devicemanufacture_latest;NULLABLE;FLOAT
fundingbalance_active_min_1month;NULLABLE;FLOAT
dailyevent_transactions_sum_6months_over_dailyevent_allevent_sum_6months;NULLABLE;FLOAT
plafond_tenor_2to11_high_interest_allcondition_avg;NULLABLE;FLOAT
slikbalance_unsecurednoncreditcard_avg;NULLABLE;FLOAT
maturity_rate;NULLABLE;FLOAT
balance_tenor_2to11_high_interest_allcondition_sum_over_balance_all_sum;NULLABLE;FLOAT
fundingbalance_active_min_3months;NULLABLE;FLOAT
flags_multiguna_active_count;NULLABLE;FLOAT
slikbalance_active_creditcard_sum_over_slikplafond_active_creditcard_sum;NULLABLE;FLOAT
fundingbalance_active_avg_12months;NULLABLE;FLOAT
slikbalance_active_unsecurednoncreditcard_sum;NULLABLE;FLOAT
installment_digibank_institution_sum;NULLABLE;FLOAT
transactionamt_interbanktransfer_in_pct25_12months;NULLABLE;FLOAT
plafond_jago_sharia_other_facilities_avg;NULLABLE;FLOAT
dailyeventdays_allevent_11pmto5am_count_6months;NULLABLE;FLOAT
plafond_multiguna_active_avg;NULLABLE;FLOAT
transactionamt_interbanktransfer_in_pct25_6months;NULLABLE;FLOAT
mob_tenor_1_low_interest_allcondition_avg;NULLABLE;FLOAT
flags_interest_rate_gt50_count_over_flags_allcondition_count;NULLABLE;FLOAT
slikplafond_creditcard_max;NULLABLE;FLOAT
installment_active_min;NULLABLE;FLOAT
transactionamt_gpt_in_pct25_12months;NULLABLE;FLOAT
adbdiff_active_gpt_12months;NULLABLE;FLOAT
plafond_channeling_allcondition_avg;NULLABLE;FLOAT
slikbalance_active_unsecured_sum_over_slikplafond_active_unsecured_sum;NULLABLE;FLOAT
transactionamt_interpocketactivity_pct25_12months;NULLABLE;FLOAT
daysgaplatesttransaction_count_topupwallet_12months;NULLABLE;FLOAT
plafond_1mio_3mio_plafond_avg;NULLABLE;FLOAT
dailyevent_pockets_sum_3months_over_dailyevent_allevent_sum_3months;NULLABLE;FLOAT
fundingbalance_active_gpt_max_12months;NULLABLE;FLOAT
flags_top10_banks_count_over_flags_allcondition_count;NULLABLE;FLOAT
installment_multiguna_active_avg;NULLABLE;FLOAT
slikplafond_unsecurednoncreditcard_max;NULLABLE;FLOAT
transactionamt_interbanktransfer_out_pct75_12months;NULLABLE;FLOAT
adbdiff_active_6months;NULLABLE;FLOAT
dailytransaction_interbanktransfer_11pmto5am_count_over_transaction_interbanktransfer_count_12months;NULLABLE;FLOAT
