field name;mode;type;description
BusinessDate;;DATE;
Status;;STRING;
Branch;;STRING;
AccountType;;STRING;
CIF;;STRING;
Sequence;;STRING;
AccountName;;STRING;
AOCode;;STRING;
FacilityRef;;STRING;
DealRef;;STRING;
DealType;;STRING;
Ccy;;STRING;
PlafondAwal;;NUMERIC;
Plafond;;BIGNUMERIC;
Outstanding;;BIGNUMERIC;
StartDate;;DATE;
MaturityDate;;DATE;
ClosedDate;;DATE;
NomorPKAwal;;STRING;
NomorPKPerpanjangan;;STRING;
TanggalPKPerpanjangan;;DATE;
FrekuensiPerpanjangan;;NUMERIC;
TanggalMulaiPKPerpanjangan;;DATE;
TanggalAkhirPKPerpanjangan;;DATE;
NilaiProyek;;BIGNUMERIC;
KategoriDebitur;;STRING;
KategoriPortfolio;;STRING;
KategoriPengukuran;;STRING;
JenisKredit;;STRING;
SifatKredit;;STRING;
GolonganKredit;;STRING;
JenisPenggunaan;;STRING;
OrientasiPenggunaan;;STRING;
SektorEkonomi;;STRING;
LokasiProyek;;STRING;
JenisSukuBunga;;STRING;
isUncommited;;STRING;
SegmenDebitur;;STRING;
Kelompok;;STRING;
GroupNasabah;;STRING;
InfoPerpanjangan;;STRING;
KreditProgramPemerintah;;STRING;
TakeOver;;STRING;
SumberDana;;STRING;
TanggalMacet;;DATE;
SebabMacet;;STRING;
FrekuensiTunggak;;BIGNUMERIC;
FrekuensiRestruktur;;INTEGER;
TanggalRestrukturAwal;;DATE;
TanggalRestrukturAkhir;;DATE;
CaraRestruktur;;STRING;
KodeKondisi;;STRING;
TanggalKondisi;;DATE;
Keterangan;;STRING;
AlasanTutup;;STRING;
SourceSystem;;STRING;
UnusedAmount;;BIGNUMERIC;
SkimPembiayaanSyariah;;STRING;
JenisAkad;;STRING;
KarakteristikSumberDana;;STRING;
SifatInvestasi;;STRING;
MetodeBagiHasil;;STRING;
PersentaseNisbah;;BIGNUMERIC;
RasioRbhPbh;;BIGNUMERIC;
JenisAset;;STRING;
WaktuPerolehanAset;;DATE;
JenisValutaAset;;STRING;
HargaPerolehanAset;;BIGNUMERIC;
JmlPeriodePenyusutan;;INTEGER;
PeriodePembayaranSewa;;STRING;
NilaisewaperPeriode;;BIGNUMERIC;
AkumPenyusutan;;BIGNUMERIC;
CkpnIjarah;;BIGNUMERIC;
UangMukaIjarah;;BIGNUMERIC;
PersentaseImbalanAwalKontrak;;BIGNUMERIC;
SaldoHargaPokok;;BIGNUMERIC;
SaldoMarginDitangguhkan;;BIGNUMERIC;
TunggakanMargin;;BIGNUMERIC;
