field name;mode;type;description
BusinessDate;;DATE;
Branch;;STRING;
AccountType;;STRING;
CIF;;STRING;
Sequence;;STRING;
Account;;STRING;
AccountName;;STRING;
DealRef;;STRING;
DealType;;STRING;
NomorPKAwal;;STRING;
NomorPKPerpanjangan;;STRING;
TanggalPKAwal;;DATE;
StartDate;;DATE;
MaturityDate;;DATE;
AOCodeCIF;;STRING;
AOCode;;STRING;
Ccy;;STRING;
InterestRate;;BIGNUMERIC;
PlafondAwal;;BIGNUMERIC;
Plafond;;BIGNUMERIC;
Outstanding;;BIGNUMERIC;
InitialFee;;BIGNUMERIC;
AmortizedFee;;BIGNUMERIC;
FairValue;;BIGNUMERIC;
InterestAccrue;;BIGNUMERIC;
CollectAccount;;STRING;
CollectCIF;;STRING;
Collect;;STRING;
DPDPrincipal;;INTEGER;
DPDInterest;;INTEGER;
DPDCIF;;NUMERIC;
DPDFinal;;INTEGER;
TunggakanPokok;;BIGNUMERIC;
TunggakanBunga;;BIGNUMERIC;
TanggalTunggakanPokok;;DATE;
TanggalTunggakanBunga;;DATE;
DendaPokok;;BIGNUMERIC;
DendaBunga;;BIGNUMERIC;
FrekuensiTunggak;;INTEGER;
CKPNType;;STRING;
GLPbyad;;STRING;
GLPbdp;;STRING;
SourceSystem;;STRING;
EIRRate;;NUMERIC;
SingleCustomerIdentifier;;STRING;
