field name;mode;type;description
BusinessDate;;DATE;
LoanCategory;;STRING;
AccountTypeFacility;;STRING;
FacilityType;;STRING;
FacilityRef;;STRING;
AccountType;;STRING;
DealType;;STRING;
NomorRekening;;STRING;
DealRef;;STRING;
Branch;;STRING;
CIF;;STRING;
AccountName;;STRING;
Ccy;;STRING;
NomorPKAwal;;STRING;
TanggalPKAwal;;DATE;
NomorPKPerpanjangan;;STRING;
TanggalPKPerpanjangan;;DATE;
FrekuensiPerpanjangan;;INTEGER;
TanggalMulaiPerpanjangan;;DATE;
TanggalAkhirPerpanjangan;;DATE;
StartDateFacility;;DATE;
MaturityDateFacility;;DATE;
StartDate;;DATE;
MaturityDate;;DATE;
JangkaWaktuMulai;;DATE;
JangkaWaktuJatuhWaktu;;DATE;
Collect;;INTEGER;
PlafondAwal;;BIGNUMERIC;
Plafond;;BIGNUMERIC;
Outstanding;;BIGNUMERIC;
FairValue;;BIGNUMERIC;
UnusedFacility;;BIGNUMERIC;
isUncommitted;;STRING;
DPDPrincipal;;INTEGER;
DPDInterest;;INTEGER;
DPDFinal;;INTEGER;
TunggakanPokok;;BIGNUMERIC;
TunggakanBunga;;BIGNUMERIC;
InterestRate;;BIGNUMERIC;
InterestAccrue;;BIGNUMERIC;
NoD;;INTEGER;
CKPNType;;STRING;
SifatKredit;;STRING;
ProductGroup;;STRING;
SourceSystem;;STRING;
CollectAccount;;INTEGER;
SingleCustomerIdentifier;;STRING;
EIRRate;;NUMERIC;
RealizationAmount;;NUMERIC;
