field name;mode;type;description
business_date;;DATE;
credit_risk_loans_id;;STRING;
single_customer_identifier;;STRING;
customer_id;;STRING;
account_number;;STRING;
initial_agreement_number;;STRING;
deal_reference;;STRING;
deal_type;;STRING;
booking_date;;DATE;
booking_month;;STRING;
maturity_date;;DATE;
tenor;;INTEGER;
months_on_book;;INTEGER;
is_multiple_cif;;INTEGER;
outstanding_balance;;BIGNUMERIC;
fair_value;;BIGNUMERIC;
unused_facility;;BIGNUMERIC;
loan_amount;;BIGNUMERIC;
initial_loan_amount;;BIGNUMERIC;
limit_first;;BIGNUMERIC;
collect;;INTEGER;
collect_cif;;INTEGER;
broker_code;;STRING;
business_stream;;STRING;
is_restructured;;INTEGER;
interest_rate;;BIGNUMERIC;
economic_sector;;STRING;
payment_default_month;;INTEGER;
dpd_bucket_principal;;INTEGER;
dpd_bucket_interest;;INTEGER;
dpd_bucket_final;;INTEGER;
dpd_bucket_max;;INTEGER;
no_of_active_loan_facilities;;INTEGER;
earliest_start_date_of_active_facilities;;DATE;
farthest_maturity_date_of_active_facilities;;DATE;
days_past_due_principal;;INTEGER;
days_past_due_interest;;INTEGER;
days_past_due_final;;INTEGER;
days_past_due_max;;INTEGER;
first_payment_default_ever;;BOOLEAN;
second_payment_default_ever;;BOOLEAN;
third_payment_default_ever;;BOOLEAN;
days_past_due_principal_ever;;INTEGER;
days_past_due_interest_ever;;INTEGER;
days_past_due_max_ever;;INTEGER;
days_past_due_final_ever;;INTEGER;
days_past_due_principal_daily_ever;;INTEGER;
days_past_due_interest_daily_ever;;INTEGER;
days_past_due_max_daily_ever;;INTEGER;
days_past_due_final_daily_ever;;INTEGER;
balance_7dpd_max_ever;;BIGNUMERIC;
balance_15dpd_max_ever;;BIGNUMERIC;
balance_30dpd_max_ever;;BIGNUMERIC;
balance_7dpd_max_daily_ever;;BIGNUMERIC;
balance_15dpd_max_daily_ever;;BIGNUMERIC;
balance_30dpd_max_daily_ever;;BIGNUMERIC;
balance_7dpd_final_ever;;BIGNUMERIC;
balance_15dpd_final_ever;;BIGNUMERIC;
balance_30dpd_final_ever;;BIGNUMERIC;
balance_7dpd_final_daily_ever;;BIGNUMERIC;
balance_15dpd_final_daily_ever;;BIGNUMERIC;
balance_30dpd_final_daily_ever;;BIGNUMERIC;
latest_record_event_at;;DATE;
dbt_inserted_at;;TIMESTAMP;
refinancing_tag;;INTEGER;
product_group_id;;INTEGER;
product_group;;STRING;
partner_name;;STRING;
segment_group;;STRING;
segment;;STRING;
risk_assessment_code;;STRING;
risk_group;;STRING;
type_group;;STRING;
business_group;;STRING;
bank_group;;STRING;
