field name;type;description
reffnumber;STRING;Unique identifier of a loan contract.
appid;STRING;Unique identifier of an instance of a data pull from SLIK. If an application has been checked in SLIK several times, same reffnumber will have multiple appids
product_id;STRING;
create_date;DATETIME;Date the SLIK record is pulled from OJK
balance_active_secured_sum;FLOAT;
balance_active_secured_sum_over_balance_active_sum;FLOAT;
balance_active_secured_sum_over_plafond_active_sum;FLOAT;
balance_active_securedmortgage_sum;FLOAT;
balance_active_securedmortgage_sum_over_balance_active_sum;FLOAT;
balance_active_securedmortgage_sum_over_plafond_active_sum;FLOAT;
balance_active_securedvehicle_sum;FLOAT;
balance_active_securedvehicle_sum_over_balance_active_sum;FLOAT;
balance_active_securedvehicle_sum_over_plafond_active_sum;FLOAT;
balance_active_sum;FLOAT;
balance_active_sum_over_plafond_active_sum;FLOAT;
balance_active_unsecured_sum;FLOAT;
balance_active_unsecured_sum_over_balance_active_sum;FLOAT;
balance_active_unsecured_sum_over_plafond_active_sum;FLOAT;
balance_all_sum;FLOAT;
balance_all_sum_over_plafond_all_sum;FLOAT;
balance_channeling_active_sum;FLOAT;
balance_channeling_active_sum_over_balance_active_sum;FLOAT;
balance_channeling_allcondition_sum;FLOAT;
balance_channeling_allcondition_sum_over_balance_all_sum;FLOAT;
balance_channeling_chargeoff_sum;FLOAT;
balance_channeling_paidoff_sum;FLOAT;
balance_credit_card_active_max;FLOAT;
balance_credit_card_active_sum;FLOAT;
balance_credit_card_allcondition_max;FLOAT;
balance_credit_card_allcondition_sum;FLOAT;
balance_multifinance_active_sum;FLOAT;
balance_multifinance_active_sum_over_balance_active_sum;FLOAT;
balance_multifinance_allcondition_sum;FLOAT;
balance_multifinance_allcondition_sum_over_balance_all_sum;FLOAT;
balance_multifinance_chargeoff_sum;FLOAT;
balance_multifinance_paidoff_sum;FLOAT;
balance_multiguna_active_sum;FLOAT;
balance_multiguna_active_sum_over_balance_active_sum;FLOAT;
balance_multiguna_allcondition_sum;FLOAT;
balance_multiguna_allcondition_sum_over_balance_all_sum;FLOAT;
balance_multiguna_chargeoff_sum;FLOAT;
balance_multiguna_paidoff_sum;FLOAT;
balance_nonrestructured_active_secured_sum;FLOAT;
balance_nonrestructured_active_securedmortgage_sum;FLOAT;
balance_nonrestructured_active_securedvehicle_sum;FLOAT;
balance_nonrestructured_active_sum;FLOAT;
balance_nonrestructured_active_unsecured_sum;FLOAT;
balance_nonrestructured_allcondition_secured_sum;FLOAT;
balance_nonrestructured_allcondition_securedmortgage_sum;FLOAT;
balance_nonrestructured_allcondition_securedvehicle_sum;FLOAT;
balance_nonrestructured_allcondition_sum;FLOAT;
balance_nonrestructured_allcondition_unsecured_sum;FLOAT;
balance_personal_loan_active_max;FLOAT;
balance_personal_loan_active_sum;FLOAT;
balance_personal_loan_allcondition_max;FLOAT;
balance_personal_loan_allcondition_sum;FLOAT;
balance_restructured_active_secured_sum;FLOAT;
balance_restructured_active_secured_sum_over_balance_active_sum;FLOAT;
balance_restructured_active_secured_sum_over_balance_all_sum;FLOAT;
balance_restructured_active_secured_sum_over_plafond_active_sum;FLOAT;
balance_restructured_active_secured_sum_over_plafond_all_sum;FLOAT;
balance_restructured_active_securedmortgage_sum;FLOAT;
balance_restructured_active_securedmortgage_sum_over_balance_active_sum;FLOAT;
balance_restructured_active_securedmortgage_sum_over_balance_all_sum;FLOAT;
balance_restructured_active_securedmortgage_sum_over_plafond_active_sum;FLOAT;
balance_restructured_active_securedmortgage_sum_over_plafond_all_sum;FLOAT;
balance_restructured_active_securedvehicle_sum;FLOAT;
balance_restructured_active_securedvehicle_sum_over_balance_active_sum;FLOAT;
balance_restructured_active_securedvehicle_sum_over_balance_all_sum;FLOAT;
balance_restructured_active_securedvehicle_sum_over_plafond_active_sum;FLOAT;
balance_restructured_active_securedvehicle_sum_over_plafond_all_sum;FLOAT;
balance_restructured_active_sum;FLOAT;
balance_restructured_active_sum_over_balance_active_sum;FLOAT;
balance_restructured_active_sum_over_plafond_active_sum;FLOAT;
balance_restructured_active_sum_over_plafond_all_sum;FLOAT;
balance_restructured_active_unsecured_sum;FLOAT;
balance_restructured_active_unsecured_sum_over_balance_active_sum;FLOAT;
balance_restructured_active_unsecured_sum_over_balance_all_sum;FLOAT;
balance_restructured_active_unsecured_sum_over_plafond_active_sum;FLOAT;
balance_restructured_active_unsecured_sum_over_plafond_all_sum;FLOAT;
balance_restructured_allcondition_secured_sum;FLOAT;
balance_restructured_allcondition_secured_sum_over_balance_all_sum;FLOAT;
balance_restructured_allcondition_secured_sum_over_plafond_all_sum;FLOAT;
balance_restructured_allcondition_securedmortgage_sum;FLOAT;
balance_restructured_allcondition_securedmortgage_sum_over_balance_all_sum;FLOAT;
balance_restructured_allcondition_securedmortgage_sum_over_plafond_all_sum;FLOAT;
balance_restructured_allcondition_securedvehicle_sum;FLOAT;
balance_restructured_allcondition_securedvehicle_sum_over_balance_all_sum;FLOAT;
balance_restructured_allcondition_securedvehicle_sum_over_plafond_all_sum;FLOAT;
balance_restructured_allcondition_sum;FLOAT;
balance_restructured_allcondition_sum_over_balance_all_sum;FLOAT;
balance_restructured_allcondition_sum_over_plafond_all_sum;FLOAT;
balance_restructured_allcondition_unsecured_sum;FLOAT;
balance_restructured_allcondition_unsecured_sum_over_balance_all_sum;FLOAT;
balance_restructured_allcondition_unsecured_sum_over_plafond_all_sum;FLOAT;
balance_secured_sum;FLOAT;
balance_secured_sum_over_plafond_all_sum;FLOAT;
balance_securedmortgage_sum;FLOAT;
balance_securedmortgage_sum_over_plafond_all_sum;FLOAT;
balance_securedvehicle_sum;FLOAT;
balance_securedvehicle_sum_over_plafond_all_sum;FLOAT;
balance_tenor_1_active_sum;FLOAT;
balance_tenor_1_active_sum_over_balance_active_sum;FLOAT;
balance_tenor_1_allcondition_sum;FLOAT;
balance_tenor_1_allcondition_sum_over_balance_all_sum;FLOAT;
balance_tenor_1_chargeoff_sum;FLOAT;
balance_tenor_1_high_interest_active_sum;FLOAT;
balance_tenor_1_high_interest_active_sum_over_balance_active_sum;FLOAT;
balance_tenor_1_high_interest_allcondition_sum;FLOAT;
