field name;type;description
business_date;DATE;The date that represent the records state at the end of the day
cif;STRING;Customer ID that is recorded in the system
facility_reference;STRING;Reference number of the facility
deal_reference;STRING;The loan deal reference number
nomor_pk_awal;STRING;Initial Agreement Number
start_date;DATE;Start Date of the loan
maturity_date;DATE;Date of Maturity of the Loan
closed_date;DATE;When a loan status is CLOSED, then it contains when this loan is closed
plafond;BIGNUMERIC;The highest amount of loan can be given to the customer for this particular loan account
active_first_eom;BOOLEAN;Indicate whether the loan is active on the mentioned business_date
deal_type;STRING;The id of deal type, usually it contain 5 digit alphanumeric. For example: ATO2L, MAB01 and ADK03
product_type;STRING;The type of loan product. for example: MAB, KPI, Adakami etc.
status;STRING;The Loan status
account_number;STRING;The Loan account number
first_payment_default_ever;BOOLEAN;Field for flagging is the loan default during the first payment, if yes then true, if no then false.
second_payment_default_ever;BOOLEAN;Field for flagging is the loan default during the second payment, if yes then true, if no then false.
third_payment_default_ever;BOOLEAN;Field for flagging is the loan default during the third payment, if yes then true, if no then false.
balance_xdpd_max_ever;BIGNUMERIC;Outstanding balance on the first instance where maximum dpd > x, month-end comparison only
balance_3dpd_max_ever;BIGNUMERIC;Outstanding balance on the first instance where maximum dpd > 3, month-end comparison only
balance_7dpd_max_ever;BIGNUMERIC;Outstanding balance on the first instance where maximum dpd > 7, month-end comparison only
balance_30dpd_max_ever;BIGNUMERIC;Outstanding balance on the first instance where maximum dpd > 30, month-end comparison only
balance_60dpd_max_ever;BIGNUMERIC;Outstanding balance on the first instance where maximum dpd > 60, month-end comparison only
balance_90dpd_max_ever;BIGNUMERIC;Outstanding balance on the first instance where maximum dpd > 90, month-end comparison only
balance_xdpd_max_daily_ever;BIGNUMERIC;Outstanding balance on the first instance where maximum dpd > x, daily comparison
balance_3dpd_max_daily_ever;BIGNUMERIC;Outstanding balance on the first instance where maximum dpd > 3, daily comparison
balance_7dpd_max_daily_ever;BIGNUMERIC;Outstanding balance on the first instance where maximum dpd > 7, daily comparison
balance_30dpd_max_daily_ever;BIGNUMERIC;Outstanding balance on the first instance where maximum dpd > 30, daily comparison
