field name;mode;type;description
business_date;NULLABLE;DATE;business_date
source_file_name;NULLABLE;STRING;source_file_name
date;NULLABLE;STRING;date
time;NULLABLE;STRING;time
debtor;NULLABLE;STRING;debtor
account_no;NULLABLE;STRING;account_no
card_no;NULLABLE;STRING;card_no
dpd;NULLABLE;INTEGER;dpd
reason_for_default;NULLABLE;STRING;reason_for_default
call_status;NULLABLE;STRING;call_status
status;NULLABLE;STRING;status
remark;NULLABLE;STRING;remark
remark_by;NULLABLE;STRING;remark_by
remark_type;NULLABLE;STRING;remark_type
field_visit_date;NULLABLE;STRING;field_visit_date
collector;NULLABLE;STRING;collector
client;NULLABLE;STRING;client
product_description;NULLABLE;STRING;product_description
product_type;NULLABLE;STRING;product_type
batch_no;NULLABLE;STRING;batch_no
account_type;NULLABLE;STRING;account_type
relation;NULLABLE;STRING;relation
ptp_amount;NULLABLE;NUMERIC;
next_call;NULLABLE;STRING;
ptp_date;NULLABLE;STRING;
claim_paid_amount;NULLABLE;NUMERIC;claim_paid_amount
claim_paid_date;NULLABLE;STRING;
dialed_number;NULLABLE;STRING;
days_past_write_off;NULLABLE;INTEGER;
balance;NULLABLE;NUMERIC;
black_case_no;NULLABLE;STRING;black_case_no
red_case_no;NULLABLE;STRING;red_case_no
court_name;NULLABLE;STRING;
lawyer;NULLABLE;STRING;lawyer
legal_stage;NULLABLE;STRING;legal_stage
Legal_status;NULLABLE;STRING;
next_legal_follow_up;NULLABLE;STRING;next_legal_follow_up
status_group;NULLABLE;STRING;status_group
vendor_name;NULLABLE;STRING;
inserted_at;NULLABLE;TIMESTAMP;The time when the data inserted to BigQuery
phone_type;NULLABLE;STRING;phone_type
campaign_name;NULLABLE;STRING;campaign_name
call_start_time;NULLABLE;STRING;call_start_time
call_end_time;NULLABLE;STRING;call_end_time
talk_in_call_duration;NULLABLE;STRING;talk_in_call_duration
event_outcome;NULLABLE;STRING;event_outcome
event_disposition;NULLABLE;STRING;event_disposition
event_source;NULLABLE;STRING;event_source
person_contacted;NULLABLE;STRING;person_contacted
