field name;mode;type;description
identity;;STRING;NA
platform;;STRING;NA
objectId;;STRING;NA
push_token;;STRING;NA
controlGroupName;;STRING;NA
deviceInfo;;RECORD;NA
eventName;;STRING;NA
eventProps;;RECORD;
sessionProps;;RECORD;
ts;;INTEGER;timestamp of event in epoch seconds.
event_date;;DATE;Used for partitioning.
deviceInfo.appVersion;;STRING;
deviceInfo.browser;;STRING;
deviceInfo.dimensions;;RECORD;
deviceInfo.dimensions.height;;INTEGER;
deviceInfo.dimensions.unit;;STRING;
deviceInfo.dimensions.width;;INTEGER;
deviceInfo.dpi;;INTEGER;
deviceInfo.make;;STRING;
deviceInfo.model;;STRING;
deviceInfo.osVersion;;STRING;
deviceInfo.sdkVersion;;STRING;
eventProps.key_value;REPEATED;RECORD;
eventProps.key_value.key;;STRING;
eventProps.key_value.value;;RECORD;
eventProps.key_value.value.member0;;BOOLEAN;
eventProps.key_value.value.member1;;INTEGER;
eventProps.key_value.value.member2;;INTEGER;
eventProps.key_value.value.member3;;FLOAT;
eventProps.key_value.value.member4;;FLOAT;
eventProps.key_value.value.member5;;STRING;
eventProps.key_value.value.member6;;RECORD;
eventProps.key_value.value.member6.array;REPEATED;RECORD;
eventProps.key_value.value.member6.array.member0;;BOOLEAN;
eventProps.key_value.value.member6.array.member1;;INTEGER;
eventProps.key_value.value.member6.array.member2;;INTEGER;
eventProps.key_value.value.member6.array.member3;;FLOAT;
eventProps.key_value.value.member6.array.member4;;FLOAT;
eventProps.key_value.value.member6.array.member5;;STRING;
eventProps.key_value.value.member6.array.member6;;RECORD;
eventProps.key_value.value.member6.array.member6.key_value;REPEATED;RECORD;
eventProps.key_value.value.member6.array.member6.key_value.key;;STRING;
eventProps.key_value.value.member6.array.member6.key_value.value;;RECORD;
eventProps.key_value.value.member6.array.member6.key_value.value.member0;;BOOLEAN;
eventProps.key_value.value.member6.array.member6.key_value.value.member1;;INTEGER;
eventProps.key_value.value.member6.array.member6.key_value.value.member2;;INTEGER;
eventProps.key_value.value.member6.array.member6.key_value.value.member3;;FLOAT;
eventProps.key_value.value.member6.array.member6.key_value.value.member4;;FLOAT;
eventProps.key_value.value.member6.array.member6.key_value.value.member5;;STRING;
sessionProps.key_value;REPEATED;RECORD;
sessionProps.key_value.key;;STRING;
sessionProps.key_value.value;;RECORD;
sessionProps.key_value.value.member0;;INTEGER;
sessionProps.key_value.value.member1;;INTEGER;
sessionProps.key_value.value.member2;;FLOAT;
sessionProps.key_value.value.member3;;FLOAT;
sessionProps.key_value.value.member4;;STRING;
