field name;type;description
business_date;DATE;The date that represent the records state at the end of the day
customer_id;STRING;Customer identifier.
external_id;STRING;External identifier.
score;NUMERIC;Score of the loan application.
result;STRING;Result of the loan application.
count_accept;INTEGER;Number of ACCEPT results for the customer and external ID on the business date.
count_review;INTEGER;Number of REVIEW results for the customer and external ID on the business date.
count_decline;INTEGER;Number of DECLINE results for the customer and external ID on the business date.
count_custom_rule_installed_virtual_positioning;INTEGER;Count of instances where custom rule for installed virtual positioning was triggered.
count_installed_proxy_tool;INTEGER;Count of instances where proxy tool installation was detected.
count_custom_rule_android_ios_device_vpn_detected;INTEGER;Count of instances where custom rule for VPN detection on Android/iOS was triggered.
count_android_ios_vpn_http_detected;INTEGER;Count of instances where VPN HTTP usage was detected on Android/iOS.
count_email_label_similarity;INTEGER;Count of instances where email label similarity was detected.
count_is_custom_policy;INTEGER;Count of instances where custom policy was applied.
count_installed_virtual_positioning;INTEGER;Count of instances where virtual positioning tools were found installed.
count_android_ios_device_vpn_detected;INTEGER;Count of instances where VPN was detected on Android/iOS device.
count_profile_company_phone_check_result;INTEGER;Count of instances where company phone check was performed.
count_custom_rule_installed_quick_macro;INTEGER;Count of instances where custom rule for installed quick macro was triggered.
count_custom_rule_android_device_adb_link;INTEGER;Count of instances where custom rule for Android ADB link was triggered.
count_custom_rule_installed_multiopen_tool;INTEGER;Count of instances where custom rule for installed multi-open tools was triggered.
count_installed_quick_macro;INTEGER;Count of instances where quick macro tools were found installed.
count_multi_packagename_associated_with_apply_info_in_3m_loan_all;INTEGER;Count of multiple package names associated with application info in 3 months across all loans.
count_multi_platform_associated_with_apply_info_in_1m_loan_all;INTEGER;Count of multiple platforms associated with application info in 1 month across all loans.
count_multi_packagename_associated_with_apply_info_in_1m_loan_all;INTEGER;Count of multiple package names associated with application info in 1 month across all loans.
count_multi_platform_associated_with_apply_info_in_3m_loan_all;INTEGER;Count of multiple platforms associated with application info in 3 months across all loans.
count_loan_reject_in_1d;INTEGER;Count of loan rejections within 1 day.
count_idVerification_failed;INTEGER;Count of failed ID verification attempts.
count_custom_rule_android_ios_device_no_sim;INTEGER;Count of instances where custom rule for Android/iOS devices with no SIM was triggered.
count_medium_risk_device;INTEGER;Count of instances where device was classified as medium risk.
count_android_ios_device_gps_fake;INTEGER;Count of instances where fake GPS was detected on Android/iOS devices.
count_email_label_suspicious_domain;INTEGER;Count of instances where email domain was flagged as suspicious.
count_device_charging_abnormality;INTEGER;Count of instances where device charging behavior was abnormal.
count_email_label_random;INTEGER;Count of instances where email label was flagged as randomly generated.
count_installed_multiopen_tool;INTEGER;Count of instances where multi-open tools were found installed.
count_android_device_adb_link;INTEGER;Count of instances where Android device had ADB link enabled.
count_android_ios_device_short_uptime;INTEGER;Count of instances where Android/iOS device had suspiciously short uptime.
count_custom_rule_running_multiopen_tool;INTEGER;Count of instances where custom rule for running multi-open tools was triggered.
count_custom_rule_android_device_multiple_running;INTEGER;Count of instances where custom rule for multiple running processes on Android was triggered.
count_multi_platform_associated_with_apply_info_in_7d_loan_all;INTEGER;Count of multiple platforms associated with application info in 7 days across all loans.
count_multi_packagename_associated_with_apply_info_in_7d_loan_all;INTEGER;Count of multiple package names associated with application info in 7 days across all loans.
count_running_multiopen_tool;INTEGER;Count of instances where multi-open tools were found running.
count_android_device_multiple_running;INTEGER;Count of instances where multiple suspicious processes were running on Android device.
count_android_device_activetime_uptime_abnormality;INTEGER;Count of instances where Android device active time to uptime ratio was abnormal.
count_custom_rule_android_ios_device_gps_fake;INTEGER;Count of instances where custom rule for fake GPS on Android/iOS was triggered.
count_multi_platform_associated_with_apply_info_in_14d_loan_all;INTEGER;Count of multiple platforms associated with application info in 14 days across all loans.
count_device_year_2018;INTEGER;Count of instances where device manufacture year was identified as 2018.
count_multi_partnercode_associated_with_loan_info_in_3h_loan_all;INTEGER;Count of multiple partner codes associated with loan info in 3 hours across all loans.
count_multi_platform_associated_with_apply_info_in_3d_loan_all;INTEGER;Count of multiple platforms associated with application info in 3 days across all loans.
count_multi_packagename_associated_with_apply_info_in_3d_loan_all;INTEGER;Count of multiple package names associated with application info in 3 days across all loans.
count_android_device_rom_risk;INTEGER;Count of instances where Android device ROM was identified as risky.
count_device_year_2019;INTEGER;Count of instances where device manufacture year was identified as 2019.
count_multi_loan_info_associated_with_device_in_3d_loan_all;INTEGER;Count of multiple loan information associated with the device in 3 days across all loans.
count_multi_partnercode_associated_with_risk_device_in_3d;INTEGER;Count of multiple partner codes associated with risk device in 3 days.
count_custom_rule_multi_partnercode_associated_with_risk_device_in_3d;INTEGER;Count of instances where custom rule for multiple partner codes with risk device in 3 days was triggered.
count_android_ios_device_no_sim;INTEGER;Count of instances where Android/iOS device had no SIM card installed.
count_multi_platform_associated_with_cm3m_in_3m_loan_all;INTEGER;Count of multiple platforms associated with credit model 3m in 3 months across all loans.
count_multi_apply_info_associated_with_cm3m_in_1m_loan_all;INTEGER;Count of multiple application info associated with credit model 3m in 1 month across all loans.
count_black_box_demoted;INTEGER;Count of instances where black box risk score was demoted.
count_custom_rule_android_ios_device_proxy_detected;INTEGER;Count of instances where custom rule for proxy detection on Android/iOS was triggered.
count_android_ios_device_proxy_detected;INTEGER;Count of instances where proxy was detected on Android/iOS devices.
count_email_label_not_in_format;INTEGER;Count of instances where email was flagged for format irregularity.
count_custom_rule_multi_loan_info_associated_with_device_in_1d_loan_all;INTEGER;Count of instances where custom rule for multiple loan information associated with device in 1 day across all loans was triggered.
count_custom_rule_multi_loan_info_associated_with_mobile_in_1d_loan_all;INTEGER;Count of instances where custom rule for multiple loan information associated with mobile in 1 day across all loans was triggered.
count_custom_rule_multi_loan_info_associated_with_email_in_1d_loan_all;INTEGER;Count of instances where custom rule for multiple loan information associated with email in 1 day across all loans was triggered.
count_custom_rule_multi_loan_info_associated_with_idnum_in_1d_loan_all;INTEGER;Count of instances where custom rule for multiple loan information associated with ID number in 1 day across all loans was triggered.
count_unusual_device_loan;INTEGER;Count of instances where unusual patterns in device loan behavior were detected.
count_custom_rule_unusual_device_loan_new;INTEGER;Count of instances where custom rule for new unusual device loan patterns was triggered.
count_multi_similar_emails_associated_with_device_in_1d_all;INTEGER;Count of multiple similar email addresses associated with the same device within 1 day.
count_installed_VirtualApp;INTEGER;Count of instances where virtual applications were found installed on the device.
count_running_VirtualApp;INTEGER;Count of instances where virtual applications were found running on the device.
count_android_ios_device_info_tampered;INTEGER;Count of instances where device information on Android/iOS was detected as tampered with.
count_device_year_2016;INTEGER;Count of instances where device manufacture year was identified as 2016.
count_high_risk_device;INTEGER;Count of instances where device was classified as high risk.
count_multi_loan_info_associated_with_mobile_in_1d_loan_all;INTEGER;Count of multiple loan information associated with the same mobile number in 1 day across all loans.
count_multi_loan_info_associated_with_email_in_1d_loan_all;INTEGER;Count of multiple loan information associated with the same email in 1 day across all loans.
